text,subject
Addition combines numbers,Math
Subtraction finds difference,Math
Multiplication is repeated addition,Math
Division splits quantities,Math
Algebra uses variables,Math
Equations represent relationships,Math
Derivatives measure rate of change,Math
Integrals calculate area under curves,Math
Probability measures likelihood,Math
Statistics analyzes data,Math
Matrices represent data in rows and columns,Math
Trigonometry studies angles,Math
Sine cosine and tangent are trigonometric functions,Math
Limits define behavior of functions,Math
Geometry studies shapes,Math
The Pythagorean theorem relates triangle sides,Math
Linear equations form straight lines,Math
Quadratic equations form parabolas,Math
Mean median and mode are averages,Math
Vectors have magnitude and direction,Math
Addition combines numbers,Math
Subtraction finds difference,Math
Multiplication is repeated addition,Math
Division splits quantities,Math
Algebra uses variables,Math
Equations represent relationships,Math
Derivatives measure rate of change,Math
Integrals calculate area under curves,Math
Probability measures likelihood,Math
Statistics analyzes data,Math
Matrices represent data in rows and columns,Math
Trigonometry studies angles,Math
Sine cosine and tangent are trigonometric functions,Math
Limits define behavior of functions,Math
Geometry studies shapes,Math
The Pythagorean theorem relates triangle sides,Math
Linear equations form straight lines,Math
Quadratic equations form parabolas,Math
Mean median and mode are averages,Math
Vectors have magnitude and direction,Math
Addition combines numbers,Math
Subtraction finds difference,Math
Multiplication is repeated addition,Math
Division splits quantities,Math
Algebra uses variables,Math
Equations represent relationships,Math
Derivatives measure rate of change,Math
Integrals calculate area under curves,Math
Probability measures likelihood,Math
Statistics analyzes data,Math
Matrices represent data in rows and columns,Math
Trigonometry studies angles,Math
Sine cosine and tangent are trigonometric functions,Math
Limits define behavior of functions,Math
Geometry studies shapes,Math
The Pythagorean theorem relates triangle sides,Math
Linear equations form straight lines,Math
Quadratic equations form parabolas,Math
Mean median and mode are averages,Math
Vectors have magnitude and direction,Math
Addition combines numbers,Math
Subtraction finds difference,Math
Multiplication is repeated addition,Math
Division splits quantities,Math
Algebra uses variables,Math
Equations represent relationships,Math
Derivatives measure rate of change,Math
Integrals calculate area under curves,Math
Probability measures likelihood,Math
Statistics analyzes data,Math
Matrices represent data in rows and columns,Math
Trigonometry studies angles,Math
Sine cosine and tangent are trigonometric functions,Math
Limits define behavior of functions,Math
Geometry studies shapes,Math
The Pythagorean theorem relates triangle sides,Math
